AccelX,AccelY,AccelZ,OldAX,OldAY,OldAZ,Old2AX,Old2AY,Old2AZ,AvgAX,AvgAY,AvgAZ,DX,DY,Dz
2.4598,-1.078,9.5354,1.47,-1.3132,9.898,1.47,-1.3132,9.898,1.79993,-1.2348,9.77713,-6.9713e+32,-0.168887,1.8039
2.0972,-1.1662,9.7706,2.4598,-1.078,9.5354,2.4598,-1.078,9.5354,2.33893,-1.1074,9.6138,-6.9713e+32,-0.174424,1.85197
2.0972,-1.2936,9.6138,2.0972,-1.1662,9.7706,2.0972,-1.1662,9.7706,2.0972,-1.20867,9.71833,-6.9713e+32,-0.180467,1.90056
2.2638,-1.2544,9.604,2.0972,-1.2936,9.6138,2.0972,-1.2936,9.6138,2.15273,-1.28053,9.61053,-6.9713e+32,-0.18687,1.94862
2.1168,-1.4308,9.7216,2.2638,-1.2544,9.604,2.2638,-1.2544,9.604,2.2148,-1.3132,9.6432,-6.9713e+32,-0.193436,1.99683
2.5284,-1.372,9.6432,2.1168,-1.4308,9.7216,2.1168,-1.4308,9.7216,2.254,-1.4112,9.69547,-6.9713e+32,-0.200492,2.04531
2.3814,-1.3916,9.7706,2.5284,-1.372,9.6432,2.5284,-1.372,9.6432,2.4794,-1.37853,9.68567,-6.9713e+32,-0.207384,2.09374
2.1756,-1.421,9.7706,2.3814,-1.3916,9.7706,2.3814,-1.3916,9.7706,2.3128,-1.4014,9.7706,-6.9713e+32,-0.214391,2.14259
1.813,-1.176,9.6138,2.1756,-1.421,9.7706,2.1756,-1.421,9.7706,2.05473,-1.33933,9.71833,-6.9713e+32,-0.221088,2.19118
1.6366,-1.029,9.751,1.813,-1.176,9.6138,1.813,-1.176,9.6138,1.7542,-1.127,9.65953,-6.9713e+32,-0.226723,2.23948
0.8232,-1.4994,9.3982,1.6366,-1.029,9.751,1.6366,-1.029,9.751,1.36547,-1.1858,9.6334,-6.9713e+32,-0.232652,2.28765
2.5578,-1.7444,10.0842,0.8232,-1.4994,9.3982,0.8232,-1.4994,9.3982,1.4014,-1.58107,9.62687,-6.9713e+32,-0.240557,2.33578
0.6174,-0.931,9.7412,2.5578,-1.7444,10.0842,2.5578,-1.7444,10.0842,1.911,-1.47327,9.96987,-6.9713e+32,-0.247924,2.38563
0.5292,-0.9702,9.7118,0.6174,-0.931,9.7412,0.6174,-0.931,9.7412,0.588,-0.944067,9.7314,-6.9713e+32,-0.252644,2.43429
0.5782,-0.8722,9.6236,0.5292,-0.9702,9.7118,0.5292,-0.9702,9.7118,0.545533,-0.937533,9.6824,-6.9713e+32,-0.257332,2.4827
